task,model,strategy,g_mean,,macro_f1,,accuracy,,seed
binary,lr,s0,0.7906,,0.795,,0.809,,1
binary,lr,s1,0.8262,,0.8308,,0.8369,,1
binary,lr,s2a,0.8266,,0.8312,,0.8373,,1
binary,lr,s2b,0.8288,,0.8335,,0.8394,,1
binary,rf,s0,0.857,,0.8637,,0.8701,,1
binary,rf,s1,0.8573,,0.8641,,0.8705,,1
binary,rf,s2a,0.8744,,0.8806,,0.8851,,1
binary,rf,s2b,0.8752,,0.8814,,0.8859,,1
binary,xgb,s0,0.8621,,0.8688,,0.8747,,1
binary,xgb,s1,0.8986,,0.9035,,0.9062,,1
binary,xgb,s2a,0.8929,,0.8983,,0.9014,,1
binary,xgb,s2b,0.8757,,0.882,,0.8865,,1
multi,lr,s0,0.6105,,0.3403,,0.6977,,1
multi,lr,s1,0.728,,0.3525,,0.6199,,1
multi,lr,s2a,0.7319,,0.3567,,0.622,,1
multi,lr,s2b,0.7319,,0.3638,,0.6261,,1
multi,rf,s0,0.6999,,0.4779,,0.7494,,1
multi,rf,s1,0.6985,,0.4758,,0.7496,,1
multi,rf,s2a,0.7309,,0.4973,,0.7283,,1
multi,rf,s2b,0.7458,,0.4823,,0.717,,1
multi,xgb,s0,0.732,,0.5154,,0.7671,,1
multi,xgb,s1,0.7965,,0.5109,,0.6868,,1
multi,xgb,s2a,0.7842,,0.5141,,0.6992,,1
multi,xgb,s2b,0.7726,,0.5107,,0.7307,,1
 
