model,strategy,recall_Worms,f1_Worms,recall_Shellcode,f1_Shellcode,recall_Backdoor,f1_Backdoor,recall_Analysis,f1_Analysis
lr,s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251,0.0314
lr,s1,0.8182,0.0327,0.8122,0.1044,0.187,0.0664,0.6056,0.1088
lr,s2a,0.8182,0.0333,0.8228,0.1074,0.2573,0.0821,0.5465,0.1024
lr,s2b,0.7955,0.0338,0.7725,0.1109,0.2967,0.0916,0.4948,0.0967
rf,s0,0.0909,0.1538,0.6481,0.4945,0.2419,0.056,0.0591,0.0423
rf,s1,0.0682,0.12,0.6587,0.515,0.235,0.0543,0.0606,0.0451
rf,s2a,0.2727,0.381,0.7037,0.4763,0.4683,0.0894,0.1034,0.0543
rf,s2b,0.3864,0.3656,0.8968,0.3348,0.3808,0.0855,0.0694,0.0293
xgb,s0,0.5,0.6111,0.7646,0.4738,0.0652,0.0444,0.0798,0.0529
xgb,s1,0.8636,0.6387,0.9471,0.3679,0.6432,0.1069,0.2083,0.0662
xgb,s2a,0.75,0.6226,0.9259,0.3821,0.506,0.0938,0.2541,0.0799
xgb,s2b,0.75,0.5593,0.9153,0.3309,0.3225,0.096,0.0694,0.0309
