experiment_id,seed,task,model,strategy,accuracy,macro_f1,g_mean,training_time,total_time
binary_lr_s0_s42,42,binary,lr,s0,0.8090414419666715,0.7949909524847923,0.7906452622215439,73.15507864952087,73.57628393173218
binary_lr_s1_s42,42,binary,lr,s1,0.8368920954185493,0.8308448478264119,0.8262192854638809,68.307936668396,68.74377536773682
binary_lr_s2a_s42,42,binary,lr,s2a,0.8372686197347325,0.8312280945420623,0.8265885288359038,94.37327194213867,95.04817366600037
binary_lr_s2b_s42,42,binary,lr,s2b,0.8393577223922655,0.8334549252354121,0.8287936318476776,94.15673351287842,163.2788543701172
binary_rf_s0_s42,42,binary,rf,s0,0.8701355487538259,0.8637302627130597,0.8569714908149126,507.35153460502625,516.6800050735474
binary_rf_s1_s42,42,binary,rf,s1,0.8704634892872759,0.8640811367493004,0.8573140016836743,537.1956062316895,549.2099876403809
binary_rf_s2a_s42,42,binary,rf,s2a,0.8851357916727396,0.8806070312234262,0.8743809754340947,790.9121029376984,802.9627840518951
binary_rf_s2b_s42,42,binary,rf,s2b,0.8858524024680562,0.8813850851246082,0.8751757889540471,748.9553673267365,836.4386129379272
binary_xgb_s0_s42,42,binary,xgb,s0,0.8746902783850751,0.8687928897843835,0.8620638961559283,40.74340748786926,42.13381862640381
binary_xgb_s1_s42,42,binary,xgb,s1,0.9061604236505855,0.9035113439986566,0.8985949976271161,37.22830939292908,38.754679679870605
binary_xgb_s2a_s42,42,binary,xgb,s2a,0.9013627751056698,0.8983012431062485,0.8929491713985229,47.87798261642456,49.448867321014404
binary_xgb_s2b_s42,42,binary,xgb,s2b,0.8864839916435894,0.8819752450798497,0.8756723381371312,48.151188373565674,120.589350938797
multi_lr_s0_s42,42,multi,lr,s0,0.6977481416703104,0.3403238566058909,0.6104626060479744,329.9393754005432,330.733571767807
multi_lr_s1_s42,42,multi,lr,s1,0.619916921731526,0.35249067424765895,0.7279542927851355,387.6953766345978,388.29911851882935
multi_lr_s2a_s42,42,multi,lr,s2a,0.6220060243890589,0.35665211471015246,0.7319265327794164,1718.1913702487946,1720.1675667762756
multi_lr_s2b_s42,42,multi,lr,s2b,0.6260870621386582,0.3638449410298793,0.7319115454514721,1782.3867247104645,1852.5173172950745
multi_rf_s0_s42,42,multi,rf,s0,0.7493684108244668,0.47792692793061436,0.6999095716913843,982.0843284130096,992.0743982791901
multi_rf_s1_s42,42,multi,rf,s1,0.7495506000097167,0.47580012404317784,0.6985440381541305,878.1977498531342,891.6681594848633
multi_rf_s2a_s42,42,multi,rf,s2a,0.728307341009571,0.4973032940199472,0.7309435639629868,2988.2782237529755,3002.515346765518
multi_rf_s2b_s42,42,multi,rf,s2b,0.7169751736870232,0.48229380982092396,0.7457904080888974,3633.712621688843,3711.7639548778534
multi_xgb_s0_s42,42,multi,xgb,s0,0.7671136374678132,0.5153529926121545,0.7320199502474332,162.09821224212646,167.78720426559448
multi_xgb_s1_s42,42,multi,xgb,s1,0.686828936500996,0.5108979831304259,0.7964874786314298,129.41561770439148,135.75064182281494
multi_xgb_s2a_s42,42,multi,xgb,s2a,0.6991570713695768,0.5140840553133247,0.7842093379723248,356.6597263813019,366.0620038509369
multi_xgb_s2b_s42,42,multi,xgb,s2b,0.7306636544721372,0.5107116252839458,0.7725561416847736,847.3902008533478,910.5250380039215
