Task,Model,Strategy,Accuracy_mean,Accuracy_std,Macro_F1_mean,Macro_F1_std,Weighted_F1_mean,Weighted_F1_std,G_Mean_mean,G_Mean_std,ROC_AUC_mean,ROC_AUC_std,Training_Time_mean,Seed_count
binary,LR,S0,0.8090414419666715,,0.7949909524847923,,0.800422365603611,,0.7906452622215439,,0.9559913652070849,,73.15507864952087,1
binary,LR,S1,0.8368920954185493,,0.8308448478264119,,0.8340815451308179,,0.8262192854638809,,0.9562288562938657,,68.307936668396,1
binary,LR,S2A,0.8372686197347325,,0.8312280945420623,,0.8344593256607917,,0.8265885288359038,,0.9561313176540167,,94.37327194213867,1
binary,LR,S2B,0.8393577223922655,,0.8334549252354121,,0.8366279643264382,,0.8287936318476776,,0.9570485242809208,,94.15673351287842,1
binary,RF,S0,0.8701355487538259,,0.8637302627130597,,0.8667201138778589,,0.8569714908149126,,0.9807613531757293,,507.35153460502625,1
binary,RF,S1,0.8704634892872759,,0.8640811367493004,,0.8670617858915239,,0.8573140016836743,,0.9805870386291171,,537.1956062316895,1
binary,RF,S2A,0.8851357916727396,,0.8806070312234262,,0.8829602355928481,,0.8743809754340947,,0.9810525644434693,,790.9121029376984,1
binary,RF,S2B,0.8858524024680562,,0.8813850851246082,,0.8837146437743522,,0.8751757889540471,,0.9812237879810454,,748.9553673267365,1
binary,XGB,S0,0.8746902783850751,,0.8687928897843835,,0.871607959496269,,0.8620638961559283,,0.9856941513780612,,40.74340748786926,1
binary,XGB,S1,0.9061604236505855,,0.9035113439986566,,0.9051292982326303,,0.8985949976271161,,0.9863814899563819,,37.22830939292908,1
binary,XGB,S2A,0.9013627751056698,,0.8983012431062485,,0.9000869403144512,,0.8929491713985229,,0.9858079257895503,,47.87798261642456,1
binary,XGB,S2B,0.8864839916435894,,0.8819752450798497,,0.8843097514413387,,0.8756723381371312,,0.9862218896740206,,48.151188373565674,1
multi,LR,S0,0.6977481416703104,,0.3403238566058909,,0.7076430323013052,,0.6104626060479744,,0.948638378162841,,329.9393754005432,1
multi,LR,S1,0.619916921731526,,0.35249067424765895,,0.6843955923121139,,0.7279542927851355,,0.942145929228125,,387.6953766345978,1
multi,LR,S2A,0.6220060243890589,,0.35665211471015246,,0.6864416418761906,,0.7319265327794164,,0.9423927772876348,,1718.1913702487946,1
multi,LR,S2B,0.6260870621386582,,0.3638449410298793,,0.6897723895461019,,0.7319115454514721,,0.9423126835840318,,1782.3867247104645,1
multi,RF,S0,0.7493684108244668,,0.47792692793061436,,0.7835752734617001,,0.6999095716913843,,0.9467945547616162,,982.0843284130096,1
multi,RF,S1,0.7495506000097167,,0.47580012404317784,,0.7834869785542459,,0.6985440381541305,,0.9445264800252693,,878.1977498531342,1
multi,RF,S2A,0.728307341009571,,0.4973032940199472,,0.7688632438808815,,0.7309435639629868,,0.9110691563291466,,2988.2782237529755,1
multi,RF,S2B,0.7169751736870232,,0.48229380982092396,,0.762954714830418,,0.7457904080888974,,0.9487178230912449,,3633.712621688843,1
multi,XGB,S0,0.7671136374678132,,0.5153529926121545,,0.7796635423177383,,0.7320199502474332,,0.9637501863799521,,162.09821224212646,1
multi,XGB,S1,0.686828936500996,,0.5108979831304259,,0.7405758955821153,,0.7964874786314298,,0.9586881922405684,,129.41561770439148,1
multi,XGB,S2A,0.6991570713695768,,0.5140840553133247,,0.7502093170710672,,0.7842093379723248,,0.958456803845172,,356.6597263813019,1
multi,XGB,S2B,0.7306636544721372,,0.5107116252839458,,0.7722741417706487,,0.7725561416847736,,0.9594237442441539,,847.3902008533478,1
