Experiment_ID,Task,Model,Strategy,Seed,Accuracy,Macro_F1,G_Mean,ROC_AUC,Training_Time
binary_lr_s0_s42,binary,lr,s0,42,0.8090414419666715,0.7949909524847923,0.7906452622215439,0.9559913652070849,73.15507864952087
binary_lr_s1_s42,binary,lr,s1,42,0.8368920954185493,0.8308448478264119,0.8262192854638809,0.9562288562938657,68.307936668396
binary_lr_s2a_s42,binary,lr,s2a,42,0.8372686197347325,0.8312280945420623,0.8265885288359038,0.9561313176540167,94.37327194213867
binary_lr_s2b_s42,binary,lr,s2b,42,0.8393577223922655,0.8334549252354121,0.8287936318476776,0.9570485242809208,94.15673351287842
binary_rf_s0_s42,binary,rf,s0,42,0.8701355487538259,0.8637302627130597,0.8569714908149126,0.9807613531757293,507.35153460502625
binary_rf_s1_s42,binary,rf,s1,42,0.8704634892872759,0.8640811367493004,0.8573140016836743,0.9805870386291171,537.1956062316895
binary_rf_s2a_s42,binary,rf,s2a,42,0.8851357916727396,0.8806070312234262,0.8743809754340947,0.9810525644434693,790.9121029376984
binary_rf_s2b_s42,binary,rf,s2b,42,0.8858524024680562,0.8813850851246082,0.8751757889540471,0.9812237879810454,748.9553673267365
binary_xgb_s0_s42,binary,xgb,s0,42,0.8746902783850751,0.8687928897843835,0.8620638961559283,0.9856941513780612,40.74340748786926
binary_xgb_s1_s42,binary,xgb,s1,42,0.9061604236505855,0.9035113439986566,0.8985949976271161,0.9863814899563819,37.22830939292908
binary_xgb_s2a_s42,binary,xgb,s2a,42,0.9013627751056698,0.8983012431062485,0.8929491713985229,0.9858079257895503,47.87798261642456
binary_xgb_s2b_s42,binary,xgb,s2b,42,0.8864839916435894,0.8819752450798497,0.8756723381371312,0.9862218896740206,48.151188373565674
multi_lr_s0_s42,multi,lr,s0,42,0.6977481416703104,0.3403238566058909,0.6104626060479744,0.948638378162841,329.9393754005432
multi_lr_s1_s42,multi,lr,s1,42,0.619916921731526,0.35249067424765895,0.7279542927851355,0.942145929228125,387.6953766345978
multi_lr_s2a_s42,multi,lr,s2a,42,0.6220060243890589,0.35665211471015246,0.7319265327794164,0.9423927772876348,1718.1913702487946
multi_lr_s2b_s42,multi,lr,s2b,42,0.6260870621386582,0.3638449410298793,0.7319115454514721,0.9423126835840318,1782.3867247104645
multi_rf_s0_s42,multi,rf,s0,42,0.7493684108244668,0.47792692793061436,0.6999095716913843,0.9467945547616162,982.0843284130096
multi_rf_s1_s42,multi,rf,s1,42,0.7495506000097167,0.47580012404317784,0.6985440381541305,0.9445264800252693,878.1977498531342
multi_rf_s2a_s42,multi,rf,s2a,42,0.728307341009571,0.4973032940199472,0.7309435639629868,0.9110691563291466,2988.2782237529755
multi_rf_s2b_s42,multi,rf,s2b,42,0.7169751736870232,0.48229380982092396,0.7457904080888974,0.9487178230912449,3633.712621688843
multi_xgb_s0_s42,multi,xgb,s0,42,0.7671136374678132,0.5153529926121545,0.7320199502474332,0.9637501863799521,162.09821224212646
multi_xgb_s1_s42,multi,xgb,s1,42,0.686828936500996,0.5108979831304259,0.7964874786314298,0.9586881922405684,129.41561770439148
multi_xgb_s2a_s42,multi,xgb,s2a,42,0.6991570713695768,0.5140840553133247,0.7842093379723248,0.958456803845172,356.6597263813019
multi_xgb_s2b_s42,multi,xgb,s2b,42,0.7306636544721372,0.5107116252839458,0.7725561416847736,0.9594237442441539,847.3902008533478
