Class,Treatment,F1
Analysis,RF_S1,0.045104510451045104
Backdoor,RF_S1,0.05428967703586289
DoS,RF_S1,0.25553480928247535
Exploits,RF_S1,0.6988075274827651
Fuzzers,RF_S1,0.39032441661923734
Generic,RF_S1,0.9820278608573815
Normal,RF_S1,0.8533157135992311
Reconnaissance,RF_S1,0.8436018957345972
Shellcode,RF_S1,0.5149948293691831
Worms,RF_S1,0.12
Analysis,XGB_S1,0.06624383368569416
Backdoor,XGB_S1,0.10692899914456801
DoS,XGB_S1,0.25925925925925924
Exploits,XGB_S1,0.6960804224207962
Fuzzers,XGB_S1,0.3717954576611982
Generic,XGB_S1,0.9832068464395285
Normal,XGB_S1,0.7587852494577007
Reconnaissance,XGB_S1,0.8600900770013076
Shellcode,XGB_S1,0.36793422404933196
Worms,XGB_S1,0.6386554621848739
Analysis,RF_S2A,0.05426356589147287
Backdoor,RF_S2A,0.08936170212765958
DoS,RF_S2A,0.22135987852201788
Exploits,RF_S2A,0.701345632637535
Fuzzers,RF_S2A,0.3910977744436109
Generic,RF_S2A,0.9821669091105005
Normal,RF_S2A,0.8219485930989279
Reconnaissance,RF_S2A,0.8542607648298706
Shellcode,RF_S2A,0.4762757385854969
Worms,RF_S2A,0.38095238095238093
Analysis,LR_S2B,0.09668109668109669
Backdoor,LR_S2B,0.09155861338978566
DoS,LR_S2B,0.2398466097263378
Exploits,LR_S2B,0.5794715330147948
Fuzzers,LR_S2B,0.38679385162852764
Generic,LR_S2B,0.9793025386729909
Normal,LR_S2B,0.7299257673818138
Reconnaissance,LR_S2B,0.3902439024390244
Shellcode,LR_S2B,0.1108580106302202
Worms,LR_S2B,0.03376748673420164
Analysis,XGB_S0,0.05286343612334802
Backdoor,XGB_S0,0.04439252336448598
DoS,XGB_S0,0.16666666666666666
Exploits,XGB_S0,0.7072025239307353
Fuzzers,XGB_S0,0.40059516996680783
Generic,XGB_S0,0.9846690830984025
Normal,XGB_S0,0.846865489957395
Reconnaissance,XGB_S0,0.8653934300993125
Shellcode,XGB_S0,0.4737704918032787
Worms,XGB_S0,0.6111111111111112
Analysis,LR_S0,0.03139427516158818
Backdoor,LR_S0,0.0
DoS,LR_S0,0.0491585473870682
Exploits,LR_S0,0.637504090760336
Fuzzers,LR_S0,0.3863873435326843
Generic,LR_S0,0.9776725668477968
Normal,LR_S0,0.7620620426138204
Reconnaissance,LR_S0,0.559059699755615
Shellcode,LR_S0,0.0
Worms,LR_S0,0.0
Analysis,RF_S0,0.042328042328042326
Backdoor,RF_S0,0.05601907032181168
DoS,RF_S0,0.25590128755364805
Exploits,RF_S0,0.6995670189487406
Fuzzers,RF_S0,0.39074842302665225
Generic,RF_S0,0.9819729999191614
Normal,RF_S0,0.8526186112196148
Reconnaissance,RF_S0,0.8518176216882317
Shellcode,RF_S0,0.4944500504540868
Worms,RF_S0,0.15384615384615385
Analysis,LR_S2A,0.10239380102393801
Backdoor,LR_S2A,0.08210180623973727
DoS,LR_S2A,0.2071363220494053
Exploits,LR_S2A,0.5791616491771318
Fuzzers,LR_S2A,0.38538538538538536
Generic,LR_S2A,0.9792761473576415
Normal,LR_S2A,0.7293048892518118
Reconnaissance,LR_S2A,0.3610599404846252
Shellcode,LR_S2A,0.10735243355195029
Worms,LR_S2A,0.0333487725798981
Analysis,XGB_S2A,0.07986997910378453
Backdoor,XGB_S2A,0.0938444409098139
DoS,XGB_S2A,0.2680515999329871
Exploits,XGB_S2A,0.7006687294141132
Fuzzers,XGB_S2A,0.37097466723915845
Generic,XGB_S2A,0.9842276379074079
Normal,XGB_S2A,0.7772035977105478
Reconnaissance,XGB_S2A,0.8612623216124761
Shellcode,XGB_S2A,0.38209606986899564
Worms,XGB_S2A,0.6226415094339622
Analysis,RF_S2B,0.029320024953212728
Backdoor,RF_S2B,0.08553265266807937
DoS,RF_S2B,0.29462832338578404
Exploits,RF_S2B,0.692443919716647
Fuzzers,RF_S2B,0.3839623606423238
Generic,RF_S2B,0.9821346770499313
Normal,RF_S2B,0.8072049728939127
Reconnaissance,RF_S2B,0.8473049542350719
Shellcode,RF_S2B,0.3348148148148148
Worms,RF_S2B,0.3655913978494624
Analysis,XGB_S2B,0.030890568517909958
Backdoor,XGB_S2B,0.09601634320735444
DoS,XGB_S2B,0.3595710700433493
Exploits,XGB_S2B,0.6957484712793105
Fuzzers,XGB_S2B,0.36810087379714634
Generic,XGB_S2B,0.984234415706497
Normal,XGB_S2B,0.819445965181211
Reconnaissance,XGB_S2B,0.8628443782576322
Shellcode,XGB_S2B,0.33094213295074126
Worms,XGB_S2B,0.559322033898305
Analysis,LR_S1,0.10883992567029467
Backdoor,LR_S1,0.06638246041412911
DoS,LR_S1,0.21644234267006185
Exploits,LR_S1,0.5752554702384389
Fuzzers,LR_S1,0.3850299401197605
Generic,LR_S1,0.979355325571367
Normal,LR_S1,0.7281744683742102
Reconnaissance,LR_S1,0.32828064097011694
Shellcode,LR_S1,0.10440401292297229
Worms,LR_S1,0.03274215552523874
